Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
470,Reece Beekman,23,2TM,PG,36,4,13.0,1.0,3.0,.327,0.2,1.1,.175,0.8,1.9,.418,.360,0.4,0.6,.762,0.4,0.7,1.1,1.8,0.9,0.1,0.6,1.0,2.6,,beekmre01
470,Reece Beekman,23,GSW,PG,2,0,2.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,,beekmre01
470,Reece Beekman,23,BRK,PG,34,4,13.7,1.0,3.1,.321,0.2,1.2,.175,0.8,1.9,.409,.354,0.5,0.6,.762,0.4,0.8,1.1,1.8,0.9,0.1,0.6,1.0,2.7,,beekmre01
471,Jae Crowder,34,SAC,PF,9,2,11.4,0.8,2.4,.318,0.4,1.7,.267,0.3,0.8,.429,.409,0.6,0.7,.833,0.7,1.6,2.2,0.7,0.3,0.0,0.4,1.1,2.6,,crowdja01
472,Josh Minott,22,MIN,SF,46,0,6.0,1.0,2.0,.489,0.3,0.9,.326,0.7,1.0,.638,.567,0.4,0.4,.895,0.3,0.8,1.0,0.4,0.3,0.3,0.2,0.7,2.6,,minotjo01
473,Hunter Tyson,24,DEN,PF,50,2,7.9,0.9,2.4,.378,0.5,1.5,.311,0.4,0.9,.489,.475,0.4,0.5,.731,0.5,1.1,1.6,0.4,0.2,0.1,0.3,0.8,2.6,,tysonhu01
474,Trey Jemison,25,2TM,C,37,0,9.9,1.1,1.9,.556,0.0,0.0,,1.1,1.9,.556,.556,0.3,0.8,.387,1.1,1.5,2.6,0.4,0.2,0.4,0.5,1.8,2.5,,jemistr01
474,Trey Jemison,25,NOP,C,16,0,10.4,0.9,2.0,.469,0.0,0.0,,0.9,2.0,.469,.469,0.5,1.3,.381,1.4,1.4,2.8,0.6,0.4,0.4,0.6,1.7,2.4,,jemistr01
474,Trey Jemison,25,LAL,C,21,0,9.6,1.2,1.9,.625,0.0,0.0,,1.2,1.9,.625,.625,0.2,0.5,.400,0.9,1.7,2.5,0.2,0.1,0.4,0.4,1.8,2.6,,jemistr01
475,Anthony Gill,32,WAS,PF,51,0,7.8,0.8,1.7,.489,0.2,0.6,.323,0.6,1.1,.579,.545,0.6,1.0,.660,0.4,0.9,1.3,0.3,0.2,0.0,0.2,0.6,2.5,,gillan01
476,Pat Spencer,28,GSW,PG,39,0,6.4,1.1,2.6,.406,0.1,0.6,.227,0.9,2.0,.456,.431,0.3,0.4,.733,0.4,0.8,1.2,1.2,0.4,0.1,0.5,0.5,2.5,,spencpa01
477,Johnny Davis,22,WAS,SG,34,0,7.1,0.9,2.3,.410,0.2,0.9,.241,0.7,1.4,.510,.455,0.3,0.4,.600,0.3,0.8,1.1,0.3,0.4,0.2,0.2,0.5,2.4,,davisjo06
478,Christian Koloko,24,LAL,C,36,0,8.9,1.1,1.7,.613,0.0,0.1,.000,1.1,1.6,.644,.613,0.3,0.3,.833,0.9,1.4,2.3,0.4,0.2,0.3,0.3,1.1,2.4,,kolokch01
479,John Konchar,28,MEM,SG,45,4,11.9,0.9,2.0,.449,0.5,1.4,.377,0.4,0.6,.607,.579,0.2,0.2,.875,0.8,2.4,3.2,0.9,0.5,0.3,0.3,0.7,2.4,,konchjo01
480,Dillon Jones,23,OKC,SF,53,2,9.7,0.9,2.4,.365,0.3,1.2,.242,0.6,1.2,.484,.425,0.3,0.5,.577,0.5,1.5,2.1,1.1,0.3,0.1,0.5,0.9,2.3,,jonesdi01
481,Mason Jones,26,SAC,SG,10,0,4.5,0.9,1.8,.500,0.1,0.8,.125,0.8,1.0,.800,.528,0.4,0.5,.800,0.2,0.7,0.9,1.1,0.0,0.1,0.1,0.3,2.3,,jonesma05
482,MarJon Beauchamp,24,3TM,SF,34,0,4.4,0.8,1.9,.406,0.3,0.9,.345,0.5,1.0,.457,.484,0.4,0.5,.722,0.3,0.9,1.2,0.3,0.1,0.0,0.4,0.4,2.2,,beaucma01
482,MarJon Beauchamp,24,MIL,SF,26,0,4.7,0.7,1.8,.383,0.3,0.8,.333,0.4,1.0,.423,.457,0.3,0.5,.750,0.3,1.0,1.2,0.3,0.1,0.0,0.5,0.4,2.0,,beaucma01
482,MarJon Beauchamp,24,LAC,SF,3,0,5.7,1.3,2.3,.571,0.7,1.0,.667,0.7,1.3,.500,.714,0.7,1.3,.500,0.7,0.3,1.0,0.7,0.0,0.0,0.3,0.7,4.0,,beaucma01
482,MarJon Beauchamp,24,NYK,SF,5,0,2.4,0.8,2.0,.400,0.2,1.0,.200,0.6,1.0,.600,.450,0.4,0.4,1.000,0.4,0.6,1.0,0.0,0.2,0.0,0.2,0.4,2.2,,beaucma01
483,Patrick Baldwin Jr.,22,2TM,SF,24,0,4.5,0.8,1.5,.543,0.5,1.0,.565,0.3,0.5,.500,.729,0.1,0.2,.500,0.2,0.8,1.0,0.1,0.1,0.1,0.2,0.3,2.2,,baldwpa01
483,Patrick Baldwin Jr.,22,WAS,SF,22,0,4.6,0.8,1.5,.515,0.5,1.0,.524,0.3,0.5,.500,.682,0.1,0.2,.500,0.2,0.8,1.0,0.1,0.1,0.1,0.2,0.2,2.1,,baldwpa01
483,Patrick Baldwin Jr.,22,LAC,SF,2,0,3.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,1.5,1.5,0.5,0.0,0.0,0.0,1.0,3.0,,baldwpa01
484,Bronny James,20,LAL,SG,26,0,5.5,0.7,2.2,.333,0.3,1.2,.300,0.4,1.0,.370,.412,0.4,0.5,.786,0.1,0.5,0.6,0.6,0.2,0.1,0.4,0.5,2.2,,jamesbr02
485,TyTy Washington Jr.,23,PHO,PG,15,0,7.0,0.9,2.7,.325,0.3,1.3,.200,0.6,1.3,.450,.375,0.2,0.3,.750,0.3,0.5,0.8,1.0,0.2,0.0,0.2,0.3,2.2,,washity02
486,Jordan McLaughlin,28,2TM,PG,45,0,6.9,0.7,1.6,.429,0.4,1.0,.422,0.2,0.6,.440,.564,0.4,0.5,.773,0.1,0.5,0.7,1.1,0.4,0.0,0.4,0.4,2.1,,mclaujo01
486,Jordan McLaughlin,28,SAC,PG,28,0,6.8,0.6,1.6,.364,0.4,0.9,.385,0.2,0.6,.333,.477,0.4,0.6,.688,0.1,0.6,0.8,0.9,0.4,0.0,0.4,0.5,1.9,,mclaujo01
486,Jordan McLaughlin,28,SAS,PG,17,0,7.1,0.8,1.5,.538,0.5,1.1,.474,0.3,0.4,.714,.712,0.4,0.4,1.000,0.1,0.4,0.5,1.6,0.3,0.1,0.3,0.2,2.5,,mclaujo01
487,Chris Duarte,27,CHI,SG,17,0,4.4,0.7,1.5,.462,0.4,0.9,.400,0.4,0.6,.545,.577,0.4,0.5,.750,0.3,0.9,1.2,0.5,0.0,0.0,0.1,0.4,2.1,,duartch01
488,Drew Peterson,25,BOS,PF,24,1,7.3,0.7,1.5,.432,0.5,1.3,.400,0.2,0.3,.571,.595,0.3,0.3,.857,0.3,1.3,1.5,0.5,0.2,0.1,0.3,0.6,2.1,,peterdr01
489,Tyler Smith,20,MIL,PF,22,0,4.2,0.8,1.9,.439,0.4,1.1,.375,0.4,0.8,.529,.549,0.1,0.2,.500,0.2,0.8,1.0,0.2,0.1,0.1,0.3,0.4,2.1,,smithty02
490,Dwight Powell,33,DAL,C,54,3,9.9,0.7,1.1,.702,0.0,0.1,.333,0.7,1.0,.722,.711,0.5,0.8,.659,0.9,1.3,2.2,1.0,0.3,0.4,0.3,1.4,2.0,,poweldw01
491,Adama Sanogo,22,CHI,C,4,0,5.3,1.0,1.8,.571,0.0,0.0,,1.0,1.8,.571,.571,0.0,0.0,,1.3,0.3,1.5,0.3,0.0,0.0,0.3,0.3,2.0,,sanogad01
492,Garrett Temple,38,TOR,SG,27,0,8.3,0.7,2.2,.300,0.2,1.0,.214,0.4,1.2,.375,.350,0.4,0.4,.917,0.3,0.7,1.1,1.1,0.6,0.1,0.4,0.9,2.0,,templga01
493,Kobe Brown,25,LAC,PF,40,0,6.8,0.8,1.8,.458,0.2,0.7,.231,0.7,1.2,.587,.500,0.1,0.2,.714,0.5,1.2,1.6,0.6,0.2,0.1,0.3,0.6,1.9,,brownko01
494,Ariel Hukporti,22,NYK,C,25,1,8.7,0.8,1.2,.677,0.0,0.0,,0.8,1.2,.677,.677,0.2,0.5,.462,0.6,1.5,2.0,0.4,0.0,0.6,0.8,1.3,1.9,,hukpoar01
495,Tyler Kolek,23,NYK,PG,40,0,7.1,0.7,1.9,.338,0.3,1.1,.302,0.3,0.9,.382,.422,0.3,0.4,.733,0.2,0.5,0.6,1.7,0.3,0.1,0.4,0.6,1.9,,kolekty01
496,E.J. Liddell,24,CHI,PF,11,0,4.5,0.7,1.3,.571,0.3,0.8,.333,0.5,0.5,1.000,.679,0.2,0.2,1.000,0.3,0.5,0.8,0.3,0.1,0.1,0.2,0.9,1.9,,liddeej01
497,Jericho Sims,26,2TM,C,53,5,11.9,0.8,1.3,.634,0.0,0.0,,0.8,1.3,.634,.634,0.2,0.2,.615,1.3,2.4,3.7,0.6,0.2,0.4,0.6,1.2,1.8,,simsje01
497,Jericho Sims,26,NYK,C,39,5,10.8,0.7,1.2,.609,0.0,0.0,,0.7,1.2,.609,.609,0.2,0.3,.615,1.3,2.0,3.3,0.6,0.2,0.3,0.5,1.2,1.6,,simsje01
497,Jericho Sims,26,MIL,C,14,0,15.0,1.2,1.8,.680,0.0,0.0,,1.2,1.8,.680,.680,0.0,0.0,,1.4,3.4,4.9,0.8,0.1,0.6,0.9,1.4,2.4,,simsje01
498,Vlatko Čančar,27,DEN,PF,13,0,10.5,0.8,2.0,.385,0.3,1.2,.267,0.5,0.8,.545,.462,0.0,0.0,,0.5,2.0,2.5,0.7,0.2,0.2,0.8,0.8,1.8,,cancavl01
499,Adam Flagler,25,OKC,SG,36,0,5.0,0.7,2.5,.270,0.4,1.9,.209,0.3,0.6,.455,.348,0.0,0.1,.500,0.2,0.5,0.7,0.3,0.2,0.1,0.1,0.4,1.8,,flaglad01
500,Trentyn Flowers,19,LAC,SF,6,0,4.5,0.7,1.8,.364,0.0,0.3,.000,0.7,1.5,.444,.364,0.5,0.5,1.000,0.2,0.5,0.7,0.0,0.0,0.0,0.2,0.7,1.8,,flowetr01
501,Enrique Freeman,24,IND,PF,21,1,7.1,0.7,1.4,.483,0.0,0.3,.143,0.6,1.0,.591,.500,0.4,0.7,.600,0.4,0.6,1.0,0.4,0.1,0.1,0.2,1.0,1.8,,freemen01
502,Johnny Furphy,20,IND,SG,49,0,6.9,0.6,1.6,.395,0.3,0.9,.326,0.3,0.7,.485,.487,0.3,0.4,.778,0.4,0.8,1.3,0.3,0.3,0.2,0.2,0.7,1.8,,furphjo01
503,RayJ Dennis,23,IND,PG,10,0,4.2,0.6,1.9,.316,0.3,1.2,.250,0.3,0.7,.429,.395,0.2,0.2,1.000,0.2,0.5,0.7,0.8,0.4,0.0,0.5,0.4,1.7,,dennira01
504,PJ Hall,22,DEN,C,19,0,3.5,0.7,1.3,.583,0.1,0.4,.250,0.6,0.8,.750,.625,0.2,0.2,.750,0.3,0.8,1.2,0.2,0.0,0.2,0.1,0.6,1.7,,hallpj01
505,Keshad Johnson,23,MIA,SF,15,0,4.7,0.7,1.1,.647,0.1,0.3,.250,0.7,0.9,.769,.676,0.2,0.5,.375,0.2,1.1,1.3,0.2,0.2,0.3,0.2,0.5,1.7,,johnske10
506,Tristan Thompson,33,CLE,C,39,0,7.3,0.8,1.7,.448,0.0,0.1,.000,0.8,1.6,.469,.448,0.2,0.6,.250,0.8,2.2,2.9,0.6,0.0,0.2,0.3,0.8,1.7,,thomptr01
507,Pete Nance,24,2TM,PF,12,0,7.9,0.6,1.7,.350,0.3,1.3,.267,0.3,0.4,.600,.450,0.1,0.2,.500,0.3,0.9,1.3,0.4,0.2,0.0,0.0,1.0,1.6,,nancepe01
507,Pete Nance,24,PHI,C,7,0,9.7,0.7,2.1,.333,0.6,1.7,.333,0.1,0.4,.333,.467,0.1,0.3,.500,0.3,1.1,1.4,0.4,0.1,0.0,0.0,1.4,2.1,,nancepe01
507,Pete Nance,24,MIL,PF,5,0,5.4,0.4,1.0,.400,0.0,0.6,.000,0.4,0.4,1.000,.400,0.0,0.0,,0.4,0.6,1.0,0.4,0.2,0.0,0.0,0.4,0.8,,nancepe01
508,Alex Len,31,2TM,C,45,6,8.2,0.7,1.3,.508,0.0,0.2,.250,0.6,1.1,.549,.525,0.2,0.4,.471,0.8,1.2,2.1,0.8,0.2,0.4,0.4,1.1,1.6,,lenal01
508,Alex Len,31,SAC,C,36,3,7.2,0.6,1.1,.537,0.0,0.2,.167,0.6,1.0,.600,.549,0.2,0.4,.538,0.7,1.1,1.8,0.8,0.2,0.5,0.3,1.0,1.4,,lenal01
508,Alex Len,31,LAL,C,9,3,12.1,0.9,2.0,.444,0.1,0.2,.500,0.8,1.8,.438,.472,0.1,0.4,.250,1.4,1.8,3.2,0.8,0.1,0.2,0.7,1.7,2.0,,lenal01
509,JD Davison,22,BOS,PG,15,0,5.1,0.5,1.5,.348,0.2,1.0,.200,0.3,0.5,.625,.413,0.3,0.5,.714,0.1,0.7,0.8,0.6,0.2,0.1,0.7,0.1,1.6,,davisjd01
510,Alex Ducas,24,OKC,SG,20,0,5.5,0.6,1.4,.407,0.5,1.0,.474,0.1,0.4,.250,.574,0.0,0.0,,0.4,0.7,1.1,0.2,0.3,0.0,0.2,0.4,1.6,,ducasal01
511,Jack McVeigh,28,HOU,PF,9,0,4.8,0.6,1.9,.294,0.4,1.4,.308,0.1,0.4,.250,.412,0.0,0.0,,0.2,0.3,0.6,0.1,0.0,0.2,0.2,0.3,1.6,,mcveija01
512,Armel Traoré,22,LAL,SF,9,0,7.4,0.7,2.1,.316,0.0,0.8,.000,0.7,1.3,.500,.316,0.2,0.8,.286,0.2,1.4,1.7,0.1,0.4,0.2,0.3,0.7,1.6,,armeltr01
513,Phillip Wheeler,22,PHI,PF,5,0,8.8,0.6,4.2,.143,0.0,2.0,.000,0.6,2.2,.273,.143,0.4,0.4,1.000,0.4,1.2,1.6,0.4,0.2,0.4,0.2,0.2,1.6,,wheelph02
514,Pacome Dadiet,19,NYK,SG,17,0,5.9,0.5,1.6,.321,0.4,1.1,.333,0.2,0.6,.300,.429,0.1,0.2,.667,0.0,0.8,0.8,0.3,0.2,0.1,0.2,0.4,1.5,,dadiepa01
515,Jazian Gortman,21,DAL,PG,16,0,3.6,0.6,1.4,.391,0.3,0.7,.364,0.3,0.8,.417,.478,0.1,0.3,.500,0.1,0.3,0.3,0.4,0.1,0.1,0.3,0.6,1.5,,gortmja01
516,Leonard Miller,21,MIN,SF,13,0,2.5,0.5,1.2,.400,0.0,0.4,.000,0.5,0.8,.600,.400,0.6,0.6,1.000,0.2,0.6,0.8,0.0,0.2,0.1,0.2,0.2,1.5,,millele01
517,Quincy Olivari,23,LAL,PG,2,0,5.0,0.5,2.5,.200,0.5,2.5,.200,0.0,0.0,,.300,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5,,olivaqu01
518,Matt Ryan,27,NYK,SF,19,0,3.6,0.5,1.6,.323,0.3,1.0,.316,0.2,0.6,.333,.419,0.1,0.1,1.000,0.0,0.4,0.4,0.2,0.1,0.0,0.2,0.1,1.5,,ryanma01
519,P.J. Tucker,39,NYK,SF,2,0,14.5,0.5,1.0,.500,0.5,1.0,.500,0.0,0.0,,.750,0.0,0.0,,1.5,1.5,3.0,0.0,0.0,0.0,0.0,1.5,1.5,,tuckepj01
520,Cam Christie,19,LAC,SG,13,0,4.5,0.5,1.8,.292,0.2,1.0,.154,0.4,0.8,.455,.333,0.2,0.3,.500,0.2,0.7,0.9,0.5,0.4,0.1,0.2,0.3,1.4,,chrisca02
521,Jordan Walsh,20,BOS,PF,51,1,7.5,0.5,1.5,.342,0.3,1.0,.255,0.3,0.5,.520,.428,0.1,0.2,.583,0.4,0.8,1.2,0.4,0.2,0.2,0.3,0.5,1.4,,walshjo01
522,Jahmir Young,24,CHI,PG,5,0,4.2,0.6,0.8,.750,0.2,0.4,.500,0.4,0.4,1.000,.875,0.0,0.0,,0.2,0.4,0.6,0.6,0.0,0.0,0.2,0.2,1.4,,youngja05
523,Trey Alexander,21,DEN,SG,23,0,4.8,0.5,1.7,.300,0.1,0.7,.176,0.4,1.0,.391,.338,0.1,0.2,.750,0.0,0.4,0.5,0.5,0.0,0.0,0.2,0.4,1.3,,alexatr01
524,Emoni Bates,21,CLE,SF,9,0,3.7,0.4,2.1,.211,0.4,1.7,.267,0.0,0.4,.000,.316,0.0,0.0,,0.0,0.1,0.1,0.7,0.1,0.0,0.0,0.2,1.3,,batesem01
525,Spencer Jones,23,DEN,SF,20,0,6.3,0.6,1.7,.324,0.1,0.9,.059,0.5,0.9,.588,.338,0.2,0.2,1.000,0.4,0.5,0.9,0.3,0.3,0.3,0.3,0.9,1.3,,jonessp01
526,Skal Labissière,28,SAC,PF,4,0,3.0,0.5,1.0,.500,0.3,0.3,1.000,0.3,0.8,.333,.625,0.0,0.0,,0.3,0.5,0.8,0.3,0.0,0.0,0.0,0.3,1.3,,labissk01
527,Sidy Cissoko,20,2TM,SF,21,0,4.0,0.5,1.1,.435,0.1,0.4,.333,0.3,0.7,.500,.500,0.1,0.4,.250,0.3,0.6,0.9,0.5,0.0,0.0,0.4,0.5,1.2,,cissosi01
527,Sidy Cissoko,20,SAS,SF,17,0,3.2,0.5,1.1,.500,0.2,0.4,.429,0.4,0.6,.545,.583,0.1,0.4,.167,0.2,0.4,0.6,0.4,0.1,0.0,0.1,0.4,1.3,,cissosi01
527,Sidy Cissoko,20,POR,SF,4,0,7.8,0.3,1.3,.200,0.0,0.5,.000,0.3,0.8,.333,.200,0.3,0.5,.500,0.8,1.5,2.3,1.3,0.0,0.0,1.8,1.0,0.8,,cissosi01
528,Chris Livingston,21,MIL,SF,20,1,4.4,0.4,1.2,.292,0.0,0.4,.000,0.4,0.8,.438,.292,0.5,0.7,.714,0.5,1.0,1.5,0.2,0.3,0.0,0.3,0.3,1.2,,livinch01
529,Yuki Kawamura,23,MEM,PG,21,0,3.1,0.4,1.0,.364,0.2,0.8,.250,0.2,0.3,.667,.455,0.2,0.3,.667,0.0,0.3,0.3,0.7,0.0,0.0,0.2,0.3,1.1,,kawamyu01
530,Jalen Bridges,23,PHO,SF,7,0,4.0,0.3,0.9,.333,0.3,0.9,.333,0.0,0.0,,.500,0.1,0.3,.500,0.0,0.4,0.4,0.0,0.0,0.0,0.6,0.0,1.0,,bridgja01
531,Yuri Collins,23,GSW,PG,2,0,8.0,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,1.0,0.5,1.5,2.0,1.0,0.0,0.0,2.5,1.0,,colliyu01
532,Braxton Key,27,GSW,SF,3,0,3.7,0.0,1.3,.000,0.0,0.3,.000,0.0,1.0,.000,.000,1.0,2.0,.500,0.3,0.3,0.7,0.0,0.7,0.0,0.3,0.0,1.0,,keybr01
533,Bryce McGowens,22,POR,SG,13,0,2.5,0.3,1.1,.286,0.0,0.3,.000,0.3,0.8,.400,.286,0.4,0.5,.833,0.2,0.1,0.2,0.2,0.1,0.0,0.3,0.2,1.0,,mcgowbr01
534,Xavier Tillman Sr.,26,BOS,C,33,2,7.0,0.4,1.6,.245,0.2,1.0,.156,0.2,0.6,.381,.292,0.1,0.1,.750,0.3,1.0,1.3,0.2,0.3,0.2,0.4,0.5,1.0,,tillmxa01
535,Anton Watson,24,NYK,SF,8,0,2.6,0.5,1.1,.444,0.0,0.1,.000,0.5,1.0,.500,.444,0.0,0.0,,0.1,0.3,0.4,0.3,0.1,0.0,0.3,0.4,1.0,,watsoan02
536,Isaiah Crawford,23,SAC,SF,15,0,3.1,0.3,0.7,.455,0.1,0.3,.200,0.3,0.4,.667,.500,0.1,0.3,.500,0.1,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.9,,crawfis01
537,D.J. Carton,24,TOR,SG,4,0,8.3,0.3,1.8,.143,0.0,0.8,.000,0.3,1.0,.250,.143,0.3,0.3,1.000,0.0,1.0,1.0,0.8,0.5,0.0,1.0,0.3,0.8,,cartodj01
538,Josh Christopher,23,MIA,SG,13,0,3.2,0.3,1.2,.267,0.1,0.5,.167,0.2,0.7,.333,.300,0.2,0.3,.500,0.0,0.5,0.5,0.4,0.1,0.1,0.4,0.2,0.8,,chrisjo01
539,PJ Dozier,28,MIN,SG,9,0,3.9,0.2,0.3,.667,0.2,0.3,.667,0.0,0.0,,1.000,0.1,0.7,.167,0.1,0.4,0.6,0.6,0.1,0.0,0.1,0.3,0.8,,doziepj01
540,Joe Ingles,37,MIN,SF,19,1,6.0,0.3,1.2,.261,0.2,0.8,.200,0.2,0.4,.375,.326,0.0,0.0,,0.1,0.5,0.6,1.2,0.1,0.0,0.5,0.6,0.8,,inglejo01
541,Harrison Ingram,22,SAS,SF,5,0,7.0,0.4,0.8,.500,0.0,0.2,.000,0.4,0.6,.667,.500,0.0,0.0,,0.4,1.4,1.8,0.6,0.6,0.0,0.2,0.4,0.8,,ingraha01
542,Daniss Jenkins,23,DET,PG,6,0,2.0,0.3,1.0,.333,0.2,0.8,.200,0.2,0.2,1.000,.417,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.8,,jenkida01
543,Emanuel Miller,24,CHI,PF,5,0,2.8,0.2,0.8,.250,0.0,0.2,.000,0.2,0.6,.333,.250,0.4,0.4,1.000,0.4,0.2,0.6,0.4,0.0,0.0,0.0,0.2,0.8,,milleem01
544,Ulrich Chomche,19,TOR,PF,7,0,4.6,0.3,0.7,.400,0.0,0.0,,0.3,0.7,.400,.400,0.1,0.3,.500,0.6,0.6,1.1,0.3,0.0,0.1,0.3,0.7,0.7,,chomcul01
545,James Johnson,37,IND,PF,12,0,3.1,0.3,0.9,.364,0.0,0.3,.000,0.3,0.7,.500,.364,0.0,0.1,.000,0.0,0.5,0.5,0.3,0.0,0.2,0.3,0.4,0.7,,johnsja01
546,Kevin McCullar Jr.,23,NYK,SF,3,0,2.7,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,,mcculke01
547,Justin Minaya,25,POR,SF,18,0,4.6,0.3,0.9,.375,0.1,0.4,.143,0.3,0.5,.556,.406,0.0,0.1,.000,0.1,0.3,0.4,0.3,0.3,0.1,0.2,0.6,0.7,,minayju01
548,Liam Robbins,25,MIL,C,13,0,4.4,0.2,0.6,.250,0.0,0.2,.000,0.2,0.5,.333,.250,0.4,0.8,.500,0.5,0.4,0.9,0.2,0.2,0.2,0.5,0.7,0.7,,robbili01
549,Luke Travers,23,CLE,SG,11,0,5.5,0.3,1.0,.273,0.0,0.4,.000,0.3,0.6,.429,.273,0.2,0.2,1.000,0.5,0.6,1.1,0.5,0.1,0.1,0.5,0.5,0.7,,travelu01
550,Stanley Umude,25,MIL,SG,21,0,3.3,0.2,1.1,.208,0.1,0.7,.214,0.1,0.5,.200,.271,0.1,0.2,.500,0.2,0.6,0.8,0.1,0.1,0.2,0.1,0.3,0.7,,umudest01
551,Cui Yongxi,21,BRK,SG,5,0,2.0,0.2,1.4,.143,0.0,0.6,.000,0.2,0.8,.250,.143,0.2,0.4,.500,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.6,,cuiyo01
552,Jamaree Bouyea,25,MIL,PG,4,0,3.5,0.3,0.5,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,,0.3,0.3,0.5,0.8,0.5,0.0,0.8,0.3,0.5,,bouyeja01
553,Tristen Newton,23,2TM,SG,8,0,2.0,0.1,1.0,.125,0.0,0.4,.000,0.1,0.6,.200,.125,0.1,0.1,1.000,0.3,0.3,0.5,0.3,0.1,0.0,0.3,0.5,0.4,,newtotr01
553,Tristen Newton,23,IND,SG,5,0,1.6,0.2,1.2,.167,0.0,0.6,.000,0.2,0.6,.333,.167,0.2,0.2,1.000,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.6,,newtotr01
553,Tristen Newton,23,MIN,SG,3,0,2.7,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,0.0,0.0,,0.7,0.7,1.3,0.3,0.3,0.0,0.3,0.7,0.0,,newtotr01
554,Jacob Toppin,24,NYK,SF,16,0,3.1,0.2,0.6,.300,0.0,0.1,.000,0.2,0.5,.375,.300,0.0,0.0,,0.1,0.6,0.7,0.3,0.1,0.0,0.1,0.2,0.4,,toppija01
555,Malevy Leons,25,OKC,SF,6,0,3.5,0.0,0.3,.000,0.0,0.2,.000,0.0,0.2,.000,.000,0.3,0.7,.500,0.2,0.3,0.5,0.2,0.0,0.0,0.2,0.7,0.3,,leonsma01
556,Daishen Nix,22,MIN,PG,3,0,4.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.3,0.7,.500,0.0,1.3,1.3,1.0,0.0,0.0,1.3,0.3,0.3,,nixda01
557,Jesse Edwards,24,MIN,C,2,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,,edwarje01
558,Bobi Klintman,21,DET,SF,7,0,2.7,0.0,0.3,.000,0.0,0.1,.000,0.0,0.1,.000,.000,0.0,0.0,,0.0,0.6,0.6,0.1,0.0,0.1,0.1,0.3,0.0,,klintbo01
559,Mac McClung,26,ORL,SG,2,0,5.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,1.5,0.0,0.0,0.0,1.0,0.0,,mccluma01
560,Jalen McDaniels,27,WAS,SF,4,0,1.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,,mcdanja01
561,Riley Minix,24,SAS,SF,1,0,7.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,minixri01
562,Jahlil Okafor,29,IND,C,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,okafoja01
563,Zyon Pullin,23,MEM,SG,3,0,1.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,pullizy01
564,Isaiah Stevens,24,MIA,PG,3,0,2.0,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.7,0.7,0.0,0.3,0.0,0.0,0.0,0.0,,steveis01
565,Terry Taylor,25,SAC,PF,3,0,2.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.3,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,,taylote01
,League Average,,,,,,,,,.467,,,.360,,,.545,.543,,,.780,,,,,,,,,,,-9999
